Date,Weekday,Time,Trip ID,Passengers,Pickup Location,Dropoff Location,Distance,Fare
2025-01-01,Wednesday,20:36:24,TRP100066,4,Airport Terminal 1,Andheri East,8.63,227.64
2025-01-01,Wednesday,20:37:35,TRP100042,1,Dadar,Thane,8.81,211.81
2025-01-01,Wednesday,20:57:22,TRP100043,1,Malad,Ghatkopar,5.08,173.54
2025-01-01,Wednesday,21:08:16,TRP100038,2,Borivali,Vashi,8.14,184.99
2025-01-01,Wednesday,21:13:42,TRP100034,1,Mulund,Worli,10.52,191.05
2025-01-01,Wednesday,22:11:37,TRP100049,1,Juhu,Andheri West,11.32,205.76
2025-01-01,Wednesday,23:54:14,TRP100007,1,Borivali,Vikhroli,15.99,245.06
2025-01-02,Thursday,02:16:03,TRP100142,1,Dadar,Vashi,5.3,99.98
2025-01-02,Thursday,02:18:30,TRP100089,1,Airport Terminal 1,Navi Mumbai,29.15,596.17
2025-01-02,Thursday,04:54:20,TRP100081,1,Powai,Airport Terminal 1,20.84,457.05
2025-01-02,Thursday,05:01:29,TRP100162,2,Bandra,Worli,14.43,249.92
2025-01-02,Thursday,06:10:48,TRP100157,2,Lower Parel,Andheri West,8.13,156.34
2025-01-02,Thursday,06:50:19,TRP100097,3,Lower Parel,Vashi,26.16,385.2
2025-01-02,Thursday,06:53:18,TRP100170,3,Bandra,Chembur,23.02,364.01
2025-01-02,Thursday,06:55:24,TRP100120,1,Lower Parel,Ghatkopar,25.7,341.09
2025-01-02,Thursday,07:01:20,TRP100163,1,Powai,Lower Parel,17.45,263.52
2025-01-02,Thursday,07:04:25,TRP100090,2,Airport Terminal 1,Bandra,17.37,366.37
2025-01-02,Thursday,07:25:00,TRP100131,1,Juhu,CST Station,9.98,187.16
2025-01-02,Thursday,07:27:37,TRP100164,1,Vikhroli,Airport Terminal 2,23.67,388.64
2025-01-02,Thursday,07:40:38,TRP100106,1,Goregaon,Mulund,13.89,231.14
2025-01-02,Thursday,07:41:41,TRP100147,2,Panvel,CST Station,7.1,134.13
2025-01-02,Thursday,08:02:19,TRP100134,1,Airport Terminal 1,Borivali,24.43,325.3
2025-01-02,Thursday,08:14:55,TRP100130,2,Ghatkopar,Vashi,10.55,200.66
2025-01-02,Thursday,08:58:52,TRP100129,2,Airport Terminal 1,Colaba,9.39,267.65
2025-01-02,Thursday,08:59:30,TRP100149,1,Bandra,Thane,18.9,324.61
2025-01-02,Thursday,09:00:18,TRP100110,3,Vashi,Colaba,14.59,372.95
2025-01-02,Thursday,09:03:35,TRP100088,4,Colaba,Mulund,16.05,276.96
2025-01-02,Thursday,09:08:48,TRP100160,1,Juhu,Colaba,1.97,69.03
2025-01-02,Thursday,09:08:50,TRP100139,1,Churchgate,Malad,19.74,277.59
2025-01-02,Thursday,09:11:07,TRP100141,1,Ghatkopar,Andheri East,9.77,185.98
2025-01-02,Thursday,09:11:17,TRP100154,1,Mulund,Panvel,9.41,215.7
2025-01-02,Thursday,09:16:42,TRP100121,3,Andheri East,Navi Mumbai,17.12,241.84
2025-01-02,Thursday,09:59:05,TRP100080,1,Juhu,Navi Mumbai,11.96,208.06
2025-01-02,Thursday,10:06:54,TRP100102,1,Powai,Worli,12.63,220.77
2025-01-02,Thursday,10:16:01,TRP100099,4,Bandra,Goregaon,22.24,627.48
2025-01-02,Thursday,10:23:27,TRP100119,1,Dadar,Goregaon,14.25,253.22
2025-01-02,Thursday,10:25:17,TRP100098,1,Airport Terminal 2,CST Station,4.58,91.29
2025-01-02,Thursday,10:44:29,TRP100085,1,Juhu,Colaba,5.43,104.96
2025-01-02,Thursday,10:55:29,TRP100095,1,Bandra,Ghatkopar,7.99,159.5
2025-01-02,Thursday,11:29:25,TRP100148,1,Thane,Vashi,11.16,199.87
2025-01-02,Thursday,11:37:06,TRP100143,1,Navi Mumbai,Airport Terminal 2,15.46,399.41
2025-01-02,Thursday,11:37:19,TRP100122,2,Chembur,Thane,11.79,375.0
2025-01-02,Thursday,11:40:23,TRP100132,1,Borivali,Ghatkopar,2.91,84.88
2025-01-02,Thursday,11:43:23,TRP100137,1,CST Station,Chembur,10.57,166.3
2025-01-02,Thursday,11:45:14,TRP100161,3,Airport Terminal 2,CST Station,21.14,420.24
2025-01-02,Thursday,12:21:10,TRP100156,2,Kurla,Colaba,20.12,318.42
2025-01-02,Thursday,13:17:13,TRP100158,1,Panvel,Airport Terminal 2,11.22,215.17
2025-01-02,Thursday,13:23:40,TRP100078,1,Navi Mumbai,Mulund,6.41,152.68
2025-01-02,Thursday,13:30:22,TRP100111,2,Worli,CST Station,10.15,298.49
2025-01-02,Thursday,13:35:50,TRP100171,1,Vashi,Andheri West,21.27,343.29
2025-01-02,Thursday,13:40:19,TRP100169,1,Juhu,Churchgate,12.9,201.92
2025-01-02,Thursday,14:09:03,TRP100172,3,Navi Mumbai,Borivali,22.3,394.84
2025-01-02,Thursday,14:42:19,TRP100159,1,Andheri West,Goregaon,15.07,206.35
2025-01-02,Thursday,14:54:06,TRP100152,1,Kurla,CST Station,19.66,469.04
2025-01-02,Thursday,14:58:28,TRP100145,2,Bandra,Worli,4.22,110.67
2025-01-02,Thursday,15:18:06,TRP100087,1,Malad,Colaba,6.47,111.63
2025-01-02,Thursday,15:28:58,TRP100092,3,Navi Mumbai,Colaba,31.86,526.93
2025-01-02,Thursday,15:42:23,TRP100077,2,Bandra,Airport Terminal 2,2.3,70.13
2025-01-02,Thursday,15:48:44,TRP100086,1,Powai,Malad,12.38,442.06
2025-01-02,Thursday,16:10:00,TRP100094,2,Thane,Navi Mumbai,12.07,174.74
2025-01-02,Thursday,16:20:24,TRP100146,1,Lower Parel,Airport Terminal 2,12.86,250.95
2025-01-02,Thursday,16:25:04,TRP100155,2,Dadar,Vashi,3.13,86.11
2025-01-02,Thursday,16:58:24,TRP100075,1,Vikhroli,Mulund,14.89,265.63
2025-01-02,Thursday,17:02:15,TRP100173,4,Mulund,Navi Mumbai,13.27,226.43
2025-01-02,Thursday,17:09:04,TRP100115,1,Airport Terminal 1,Juhu,17.54,434.9
2025-01-02,Thursday,17:15:40,TRP100117,4,Ghatkopar,Colaba,19.15,292.2
2025-01-02,Thursday,17:19:29,TRP100144,1,Chembur,Andheri East,12.27,239.53
2025-01-02,Thursday,17:19:50,TRP100127,2,Navi Mumbai,Andheri West,18.71,254.24
2025-01-02,Thursday,17:35:35,TRP100150,1,Worli,Ghatkopar,9.68,214.42
2025-01-02,Thursday,17:43:48,TRP100126,2,Vashi,Panvel,22.34,533.87
2025-01-02,Thursday,17:47:06,TRP100093,2,Panvel,Malad,7.99,131.13
2025-01-02,Thursday,17:48:03,TRP100105,1,Malad,Juhu,26.53,467.94
2025-01-02,Thursday,17:55:06,TRP100114,1,Navi Mumbai,Borivali,11.79,212.28
2025-01-02,Thursday,17:55:06,TRP100118,2,Navi Mumbai,Powai,25.21,387.73
2025-01-02,Thursday,17:58:34,TRP100079,1,Panvel,Airport Terminal 1,21.85,345.08
2025-01-02,Thursday,18:08:55,TRP100109,2,Bandra,Juhu,22.98,398.2
2025-01-02,Thursday,18:17:35,TRP100082,4,Andheri East,Airport Terminal 2,4.7,108.62
2025-01-02,Thursday,18:19:42,TRP100084,1,Churchgate,Kurla,13.43,259.56
2025-01-02,Thursday,18:19:54,TRP100076,3,Ghatkopar,Lower Parel,20.78,327.38
2025-01-02,Thursday,18:26:53,TRP100108,1,Airport Terminal 1,Goregaon,5.87,110.16
2025-01-02,Thursday,18:47:44,TRP100135,2,CST Station,Thane,18.53,391.04
2025-01-02,Thursday,18:53:57,TRP100125,2,Colaba,Panvel,15.26,281.69
2025-01-02,Thursday,19:00:42,TRP100104,1,CST Station,Navi Mumbai,6.61,149.6
2025-01-02,Thursday,19:02:29,TRP100103,1,Bandra,Worli,5.34,179.05
2025-01-02,Thursday,19:04:11,TRP100167,1,Panvel,Chembur,19.39,326.96
2025-01-02,Thursday,19:04:32,TRP100165,1,Chembur,Borivali,6.72,140.0
2025-01-02,Thursday,19:11:12,TRP100128,3,Dadar,CST Station,9.92,174.01
2025-01-02,Thursday,19:12:27,TRP100096,1,Borivali,CST Station,5.95,113.35
2025-01-02,Thursday,19:44:30,TRP100083,1,Chembur,Mulund,20.67,276.99
2025-01-02,Thursday,20:06:15,TRP100123,1,Vikhroli,Churchgate,8.57,164.23
2025-01-02,Thursday,20:21:49,TRP100140,1,Dadar,Lower Parel,23.15,311.4
2025-01-02,Thursday,20:25:17,TRP100124,3,Andheri East,Churchgate,20.17,540.09
2025-01-02,Thursday,20:29:05,TRP100138,2,Ghatkopar,Malad,15.01,248.06
2025-01-02,Thursday,20:39:26,TRP100136,2,Juhu,Andheri West,7.14,134.42
2025-01-02,Thursday,20:46:03,TRP100151,1,Colaba,Lower Parel,5.09,108.9
2025-01-02,Thursday,20:49:52,TRP100153,2,Lower Parel,Ghatkopar,2.96,129.47
2025-01-02,Thursday,20:54:34,TRP100116,2,Vikhroli,Worli,24.43,368.33
2025-01-02,Thursday,21:11:37,TRP100101,3,Thane,Chembur,29.46,433.29
2025-01-02,Thursday,21:14:41,TRP100133,3,Bandra,Chembur,25.52,359.28
2025-01-02,Thursday,21:24:24,TRP100113,4,Ghatkopar,Chembur,12.63,181.27
2025-01-02,Thursday,21:36:41,TRP100168,1,Chembur,Lower Parel,29.63,412.77
2025-01-02,Thursday,22:05:15,TRP100091,2,Borivali,CST Station,15.24,267.89
2025-01-02,Thursday,22:15:36,TRP100112,3,Vikhroli,Goregaon,10.83,176.36
2025-01-02,Thursday,22:41:52,TRP100166,1,Dadar,Goregaon,7.84,133.04
2025-01-02,Thursday,23:43:52,TRP100100,1,Juhu,Churchgate,19.45,359.65
2025-01-02,Thursday,23:58:07,TRP100107,2,Navi Mumbai,Borivali,6.03,134.45
2025-01-03,Friday,00:35:59,TRP100247,2,Powai,Thane,24.12,435.23
2025-01-03,Friday,02:32:36,TRP100192,1,Goregaon,Mulund,11.21,197.77
2025-01-03,Friday,04:26:11,TRP100265,2,Panvel,Dadar,30.36,472.0
2025-01-03,Friday,05:22:44,TRP100264,4,Bandra,CST Station,26.95,622.35
2025-01-03,Friday,06:07:33,TRP100216,1,Dadar,Colaba,9.08,172.08
2025-01-03,Friday,06:40:25,TRP100204,3,Kurla,Airport Terminal 2,17.17,310.67
2025-01-03,Friday,07:10:17,TRP100186,1,Navi Mumbai,Airport Terminal 2,11.38,219.03
2025-01-03,Friday,07:15:26,TRP100191,1,Chembur,Lower Parel,5.24,121.35
2025-01-03,Friday,07:42:09,TRP100176,4,Kurla,Colaba,17.71,269.52
2025-01-03,Friday,07:43:34,TRP100243,4,Vikhroli,Kurla,21.08,302.49
2025-01-03,Friday,07:43:54,TRP100210,1,Worli,Ghatkopar,4.2,146.38
2025-01-03,Friday,08:12:59,TRP100269,1,Vashi,Panvel,21.25,381.95
2025-01-03,Friday,08:13:21,TRP100179,1,Panvel,Airport Terminal 1,34.85,450.35
2025-01-03,Friday,08:13:35,TRP100239,1,Worli,Ghatkopar,10.14,200.04
2025-01-03,Friday,08:22:34,TRP100196,1,Worli,Chembur,20.2,370.95
2025-01-03,Friday,08:24:09,TRP100181,2,Powai,Mulund,21.24,291.22
2025-01-03,Friday,08:32:29,TRP100252,3,Juhu,Malad,9.24,210.5
2025-01-03,Friday,08:56:05,TRP100213,1,Bandra,Colaba,18.24,284.29
2025-01-03,Friday,09:02:20,TRP100198,1,Colaba,Airport Terminal 2,21.47,326.99
2025-01-03,Friday,09:03:37,TRP100236,1,Airport Terminal 1,Powai,18.37,313.22
2025-01-03,Friday,09:34:09,TRP100261,3,Powai,Worli,11.47,246.22
2025-01-03,Friday,09:41:30,TRP100185,4,Kurla,CST Station,18.08,285.52
2025-01-03,Friday,09:45:31,TRP100242,1,Worli,Airport Terminal 1,26.89,442.73
2025-01-03,Friday,09:51:50,TRP100183,1,Airport Terminal 1,Malad,27.76,482.0
2025-01-03,Friday,09:53:09,TRP100190,2,CST Station,Vashi,11.08,204.88
2025-01-03,Friday,10:05:20,TRP100202,1,Ghatkopar,Colaba,15.15,286.71
2025-01-03,Friday,10:15:00,TRP100255,1,Juhu,Vikhroli,19.37,345.47
2025-01-03,Friday,10:19:30,TRP100221,1,Goregaon,Ghatkopar,11.72,209.27
2025-01-03,Friday,10:24:32,TRP100184,4,Airport Terminal 2,Thane,21.52,362.94
2025-01-03,Friday,11:01:20,TRP100188,2,Borivali,Mulund,20.62,281.01
2025-01-03,Friday,11:02:46,TRP100203,4,Kurla,Lower Parel,8.18,306.11
2025-01-03,Friday,11:03:18,TRP100227,3,Airport Terminal 1,Lower Parel,16.48,260.06
2025-01-03,Friday,11:04:22,TRP100195,2,Goregaon,Vashi,5.09,132.96
2025-01-03,Friday,11:11:34,TRP100267,1,Vikhroli,Airport Terminal 2,30.41,601.73
2025-01-03,Friday,11:25:08,TRP100223,1,Panvel,Kurla,5.15,102.87
2025-01-03,Friday,12:29:13,TRP100222,1,Worli,Lower Parel,23.28,666.5
2025-01-03,Friday,12:32:59,TRP100257,1,Mulund,Panvel,5.37,123.67
2025-01-03,Friday,12:35:07,TRP100208,1,Juhu,Panvel,11.57,224.91
2025-01-03,Friday,12:36:04,TRP100214,2,Dadar,Worli,11.64,207.62
2025-01-03,Friday,12:42:42,TRP100193,4,Bandra,Airport Terminal 2,4.27,98.2
2025-01-03,Friday,12:43:46,TRP100182,2,Goregaon,Navi Mumbai,19.33,328.38
2025-01-03,Friday,12:49:21,TRP100174,1,Ghatkopar,Lower Parel,15.87,241.12
2025-01-03,Friday,13:09:06,TRP100224,4,Andheri West,Colaba,23.39,623.14
2025-01-03,Friday,13:22:59,TRP100187,1,Andheri East,Thane,12.78,391.29
2025-01-03,Friday,13:51:19,TRP100263,1,Vashi,Andheri East,21.51,356.82
2025-01-03,Friday,14:01:23,TRP100234,1,Worli,Ghatkopar,10.94,265.75
2025-01-03,Friday,14:15:17,TRP100241,1,CST Station,Colaba,29.82,412.39
2025-01-03,Friday,14:19:31,TRP100226,4,Andheri East,Bandra,12.85,243.46
2025-01-03,Friday,14:29:09,TRP100232,1,Lower Parel,Airport Terminal 2,26.75,376.85
2025-01-03,Friday,14:57:32,TRP100262,1,Navi Mumbai,Andheri West,13.03,213.09
2025-01-03,Friday,15:25:20,TRP100207,1,Chembur,Juhu,5.29,117.65
2025-01-03,Friday,15:33:45,TRP100260,3,Kurla,Bandra,5.27,179.71
2025-01-03,Friday,15:34:22,TRP100240,3,Ghatkopar,Panvel,17.21,298.46
2025-01-03,Friday,15:40:14,TRP100246,1,Andheri West,Borivali,18.26,300.05
2025-01-03,Friday,15:51:05,TRP100201,1,Vashi,Thane,15.14,268.79
2025-01-03,Friday,16:06:59,TRP100251,1,Worli,Colaba,16.14,389.78
2025-01-03,Friday,16:23:35,TRP100229,1,Colaba,Bandra,11.65,300.27
2025-01-03,Friday,16:24:18,TRP100175,3,Juhu,Vashi,29.06,447.23
2025-01-03,Friday,16:38:09,TRP100206,4,Ghatkopar,Navi Mumbai,10.04,188.75
2025-01-03,Friday,16:41:13,TRP100220,1,Panvel,Churchgate,16.08,308.31
2025-01-03,Friday,17:05:32,TRP100218,2,Chembur,Powai,14.61,255.86
2025-01-03,Friday,17:14:08,TRP100258,1,Airport Terminal 1,Dadar,31.67,537.04
2025-01-03,Friday,17:18:22,TRP100199,3,Panvel,Andheri West,9.26,147.62
2025-01-03,Friday,17:39:07,TRP100230,1,Dadar,Borivali,20.74,545.95
2025-01-03,Friday,17:50:28,TRP100205,1,Andheri West,Dadar,20.18,298.94
2025-01-03,Friday,17:51:08,TRP100197,2,Bandra,Mulund,11.81,187.24
2025-01-03,Friday,17:53:19,TRP100233,1,Churchgate,Worli,12.95,214.17
2025-01-03,Friday,18:00:16,TRP100256,2,Chembur,Kurla,4.12,87.76
2025-01-03,Friday,18:00:47,TRP100253,2,Worli,Colaba,19.48,407.06
2025-01-03,Friday,18:22:59,TRP100244,1,Navi Mumbai,Chembur,12.27,187.37
2025-01-03,Friday,18:26:32,TRP100238,4,Panvel,Lower Parel,23.77,388.92
2025-01-03,Friday,18:43:58,TRP100178,2,Airport Terminal 2,Bandra,11.09,182.05
2025-01-03,Friday,18:54:59,TRP100249,1,Andheri West,Powai,22.31,389.59
2025-01-03,Friday,19:12:38,TRP100231,1,Airport Terminal 2,Vikhroli,3.64,82.53
2025-01-03,Friday,19:15:02,TRP100237,1,Churchgate,Mulund,2.64,73.18
2025-01-03,Friday,19:15:50,TRP100212,1,Airport Terminal 1,Andheri East,14.4,464.11
2025-01-03,Friday,19:18:20,TRP100248,1,Colaba,Chembur,19.85,323.09
2025-01-03,Friday,19:32:49,TRP100180,3,CST Station,Vashi,3.39,99.6
2025-01-03,Friday,20:27:08,TRP100228,1,Juhu,Vashi,10.67,159.78
2025-01-03,Friday,20:40:01,TRP100235,1,Lower Parel,Airport Terminal 1,16.52,302.01
2025-01-03,Friday,20:44:53,TRP100189,2,Dadar,Panvel,11.61,168.01
2025-01-03,Friday,20:45:45,TRP100211,1,Mulund,Chembur,9.84,318.55
2025-01-03,Friday,20:47:28,TRP100200,4,Vikhroli,Worli,12.65,379.11
2025-01-03,Friday,20:49:35,TRP100215,1,Chembur,Churchgate,29.22,636.94
2025-01-03,Friday,20:50:31,TRP100250,4,Powai,Vashi,26.44,446.75
2025-01-03,Friday,21:19:35,TRP100177,2,Vikhroli,Chembur,21.39,520.44
2025-01-03,Friday,21:21:53,TRP100219,3,Churchgate,Andheri West,3.05,89.09
2025-01-03,Friday,21:31:12,TRP100209,3,Borivali,Dadar,11.69,221.12
2025-01-03,Friday,21:44:17,TRP100245,2,Dadar,Borivali,14.76,264.3
2025-01-03,Friday,21:48:34,TRP100259,2,Ghatkopar,Malad,17.19,336.36
2025-01-03,Friday,21:52:20,TRP100225,1,Churchgate,Vashi,19.67,305.37
2025-01-03,Friday,21:52:27,TRP100254,1,Airport Terminal 2,Worli,16.89,241.39
2025-01-03,Friday,21:57:18,TRP100217,1,Bandra,Juhu,28.42,469.94
2025-01-03,Friday,22:29:43,TRP100268,1,Vashi,CST Station,10.19,163.79
2025-01-03,Friday,23:24:28,TRP100266,2,Vikhroli,Bandra,16.69,322.31
2025-01-03,Friday,23:35:01,TRP100194,1,Vikhroli,Airport Terminal 1,10.34,207.65
2025-01-04,Saturday,02:34:35,TRP100289,1,Thane,Andheri East,18.4,291.69
2025-01-04,Saturday,04:06:18,TRP100319,1,Thane,Bandra,27.33,359.99
2025-01-04,Saturday,06:38:02,TRP100270,2,Navi Mumbai,Lower Parel,23.74,330.19
2025-01-04,Saturday,07:38:50,TRP100304,1,Worli,Vikhroli,10.89,242.66
2025-01-04,Saturday,07:46:30,TRP100282,3,Panvel,Worli,10.02,170.96
2025-01-04,Saturday,07:48:30,TRP100280,2,Goregaon,Mulund,6.91,147.63
2025-01-04,Saturday,07:55:07,TRP100336,1,Panvel,Goregaon,18.87,468.88
2025-01-04,Saturday,07:55:34,TRP100325,1,Powai,Kurla,11.81,278.1
2025-01-04,Saturday,08:10:27,TRP100306,1,Juhu,Thane,20.32,540.38
2025-01-04,Saturday,08:11:27,TRP100303,2,Navi Mumbai,CST Station,10.77,159.88
2025-01-04,Saturday,08:19:15,TRP100313,1,Juhu,Ghatkopar,11.08,182.77
2025-01-04,Saturday,08:20:38,TRP100309,1,Mulund,Malad,6.44,123.66
2025-01-04,Saturday,08:36:01,TRP100332,1,Panvel,Goregaon,8.18,151.97
2025-01-04,Saturday,09:07:11,TRP100328,1,Kurla,Mulund,10.37,184.99
2025-01-04,Saturday,09:09:01,TRP100283,4,Juhu,CST Station,14.57,230.69
2025-01-04,Saturday,09:21:41,TRP100277,3,Bandra,Navi Mumbai,4.86,111.07
2025-01-04,Saturday,09:29:23,TRP100288,2,Andheri West,Lower Parel,26.9,550.4
2025-01-04,Saturday,09:43:38,TRP100278,3,Lower Parel,Andheri West,6.62,165.64
2025-01-04,Saturday,09:59:04,TRP100295,3,Ghatkopar,Juhu,14.19,357.16
2025-01-04,Saturday,10:11:20,TRP100330,1,Navi Mumbai,Lower Parel,9.79,148.16
2025-01-04,Saturday,10:13:37,TRP100296,3,Dadar,Panvel,21.67,379.01
2025-01-04,Saturday,10:24:36,TRP100284,2,Goregaon,Airport Terminal 1,27.51,466.85
2025-01-04,Saturday,10:51:45,TRP100321,3,Borivali,Andheri East,16.31,274.63
2025-01-04,Saturday,10:54:06,TRP100294,1,Airport Terminal 2,Andheri West,25.1,402.98
2025-01-04,Saturday,11:30:03,TRP100293,2,Chembur,Andheri East,4.63,132.6
2025-01-04,Saturday,11:41:39,TRP100316,4,Andheri West,Churchgate,17.11,314.88
2025-01-04,Saturday,11:49:39,TRP100299,4,Lower Parel,Vikhroli,9.15,203.59
2025-01-04,Saturday,12:09:19,TRP100275,2,Vikhroli,Powai,12.15,225.25
2025-01-04,Saturday,12:11:11,TRP100323,1,Chembur,Ghatkopar,3.08,83.34
2025-01-04,Saturday,12:31:40,TRP100329,3,CST Station,Mulund,26.71,356.95
2025-01-04,Saturday,13:13:33,TRP100320,1,Airport Terminal 1,Kurla,11.39,204.97
2025-01-04,Saturday,13:14:22,TRP100300,1,CST Station,Vikhroli,17.18,285.73
2025-01-04,Saturday,13:34:13,TRP100271,1,Panvel,Andheri West,32.46,652.6
2025-01-04,Saturday,13:47:49,TRP100333,1,Panvel,Airport Terminal 1,5.29,121.45
